name,WATER REQUIREMENT,change,,,
Acanthocereus Tetragonus (Fairy Castle Cactus),The best way to water your Acanthocereus tetragonus is by watering it thoroughly and then let the plant dry out completely before attempting towateragain.,occasionally,,,
Adiantum - Maidenhair Fern,"While it needs to be kept moist as part of its maidenhair fern care, you need to be careful not to over-water the plant. Give it a good soaking and the maidenhair fern will eventually produce new leaves.",usually,,,
Aglaonema 'Harlequin',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Lady Valentine',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Lucky',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Siti',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Snow White',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Tricolor',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'White Valentine',"Water thoroughly during hot weather and mist the plant often to raise the humidity. During cooler seasons, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Cutlass (Chinese Evergreen),"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Ernesto,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Mongkron Yoke,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Pictum Tricolor," Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Red Valentine,Keep soil moist but do not waterlog.,occasionally,,,
Aglaonema Siam Aurora,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Silver Bay,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Star,"Water thoroughly during hot weather and mist the plant often to raise the humidity. During cooler seasons, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Super White,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Alocasia 'Black Ninja',"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia 'Hilo Beauty' (Hilo Beauty Elephant Ear),"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Amazonica,Allow at least the top half of the plant to dry out before watering again. Over-watering can lead to root rot and fungal infections.,usually,,,
Alocasia Baginda 'Dragon Scale',"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Bambino Arrow,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Cucullata 'Crinkles',Lots of Water.,usually,,,
Alocasia Cuprea,"On average, you'll be watering your Alocasia cuprea plant two to three times a week.",occasionally,,,
Alocasia Green Velvet 'Frydek' (Alocasia Micholitziana),"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Lauterbachiana,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Pink Dragon,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Polly,"Water the Alocasia Polly often enough to keep the soil consistently moist. The exact watering schedule depends on the time of year and current climate. For example, it might be necessary to water your Polly every one or two days during the dry heat in the summer, but only every few weeks during the rainy season.",usually,,,
Alocasia Scalprum,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Silver Dragon, Water 1-2 times a week.,occasionally,,,
Alocasia Sinuata,"Keep Alocasia plants moist all year; they are water-loving plants. You want to keep the soil moist, but not soggy.",occasionally,,,
Alocasia Watsoniana 'Ripple',"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Wentii,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Aloe 'Mini Belle',Weekly watering will be sufficient. Ensure soil drys out in between each watering session.,occasionally,,,
Aloe Arborescens Variegated (Candelabra Aloe),Weekly watering will be sufficient. Ensure soil drys out in between each watering session.,occasionally,,,
Aloe Mitriformis Perfoliata,"Water when the compost gets dry, but make sure it never sits in excess water for any length of time.",occasionally,,,
Aloe Vera 'Barbadensis Miller',Weekly watering will be sufficient. Ensure soil drys out in between each watering session.,occasionally,,,
Alpinia Zerumbet Variegated (Shell Ginger),"Water regularly to keep the soil surface moist, but not soggy.",usually,,,
Alternanthera Ficoidea 'Snow In The Mountain',Water the plants often enough to keep the soil from completely drying out.,usually,,,
Anacampseros Rufescens (Sunrise),"Anacampseros rufescens has low water requirements. Allow the soil to dry out partially between waterings. Water thoroughly but infrequently, ensuring the water reaches the root zone. Reduce watering during the dormant period or cooler months.",occasionally,,,
Anacampseros Telephiastrum Sunset," Sunrise has typical watering needs for a succulent, but it is sensitive to over-watering. It s best to use the ¡°soak and dry¡± method, and allow the soil to dry out completely between waterings.",occasionally,,,
Anthurium Andraeanum PINK (Flamingo Flower)," The more light & warmth, the more often yours will need watering. Let it almost completely dry out before watering it again.",usually,,,
Anthurium Andraeanum RED (Flamingo Flower)," The more light & warmth, the more often yours will need watering. Because they re epiphytes, don t keep your anthurium constantly wet.",usually,,,
Anthurium Black Love," The more light & warmth, the more often yours will need watering. Because they re epiphytes, don t keep your anthurium constantly wet.",usually,,,
Anthurium Clarinervium (ECUADOR),Although the plant loves moisture it does not need regular watering. Overwatering will make the plant roots soggy and deter its growth.,occasionally,,,
Anthurium Clarinervium (HOLLAND),"You must note how they grow as their roots are literally exposed to air and dry out as quickly as they get wet. If the potting mix and the planter you ve used drain excellently well then yes, you can water regularly.",usually,,,
Anthurium Forgetii,"The plant should remain slightly moist throughout the growing season. If the soil is wet, refrain from watering.",usually,,,
Anthurium Magnifum,"You must note how they grow as their roots are literally exposed to air and dry out as quickly as they get wet. If the potting mix and the planter you ve used drain excellently well then yes, you can water regularly.",usually,,,
Anthurium Pallidiflorum (Strap Leaf Anthurium),Water is the most crucial element of plant care for Anthurium Pallidiflorum. You can easily mess it up because houseplants are sensitive to over and underwatering.,usually,,,
